Algorithm,mean_score,std_score,n,sem,ci_low,ci_high
A2C,10.429999999999996,0.0,5,0.0,10.429999999999996,10.429999999999996
DQN,8.439999999999998,4.719968220231995,5,2.110833958415488,4.302765441505642,12.577234558494354
Double_DQN,2.0859999999999994,4.66443780106456,5,2.0859999999999994,-2.002559999999999,6.174559999999998
Dueling_DQN,6.257999999999997,5.712746274778881,5,2.5548178017228538,1.2505571086232043,11.26544289137679
PPO,4.24,3.918845493254359,5,1.7525609832470879,0.804980472835708,7.6750195271642925
